ingredient,Added sugars,Calcium,Carbohydrate,Cholesterol,Choline,Copper,Fiber,Folate,Iron,Magnesium,Manganese,Niacin,Pantothenic acid,Phosphorus,Potassium,Protein,Riboflavin,Saturated fat,Selenium,Sodium,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Zinc
lunch,0,2,8,17,8,8,8,4,11,6,0,37,0,15,5,31,16,14,32,22,8,2,10,18,1,2,8,9,6
lychee,0,0,6,0,1,16,5,4,2,2,0,4,0,2,4,2,5,0,1,0,1,0,0,6,79,0,0,0,1
mandoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mango,0,3,31,0,0,0,18,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0
margarita,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9,1,0,0,0,2,0,0,0,1
marinade,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
marinate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marsala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,397,0,0,0,0,0,0,0
marscarpone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marshmallow,135,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
martini,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayonnaise,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
meat,0,1,0,19,0,0,0,0,4,0,0,0,0,0,0,36,0,0,0,10,0,0,0,0,0,0,0,0,0
meatball,0,5,12,1,0,0,6,0,12,0,0,0,0,0,4,14,0,0,0,22,0,17,0,0,0,0,0,0,0
